graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,name,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
erdosrenyi44,erdosrenyi,,44,184,,,,,,,,,,,,,,0,9,18,0.0123,0.0236,0.306,11,10.8,3,7,6,0.53,26,19,21,19,0.51,23,22,17,7,0.65,29.5,15.5,20,19,0.53,24,21,22,7,0.79,35,10,11,8,0.67,31.5,13.5,23,2,0.95,42,3,1,1,0,22.5,22.5,0.5,1.84907,4.82005
erdosrenyi44,erdosrenyi,,44,184,,,,,,,,,,,,,,0,9,18,0.0123,0.0236,0.306,11,10.8,3,7,6,0.53,26,19,21,19,0.51,23,22,17,7,0.65,29.5,15.5,20,19,0.53,24,21,22,7,0.79,35,10,11,8,0.67,31.5,13.5,23,2,0.95,42,3,1,1,0,22.5,22.5,1,0.6843,0.5543
erdosrenyi44,erdosrenyi,,44,184,,,,,,,,,,,,,,0,9,18,0.0123,0.0236,0.306,11,10.8,3,7,6,0.53,26,19,21,19,0.51,23,22,17,7,0.65,29.5,15.5,20,19,0.53,24,21,22,7,0.79,35,10,11,8,0.67,31.5,13.5,23,2,0.95,42,3,1,1,0,22.5,22.5,5,0.11119,0.0099
erdosrenyi44,erdosrenyi,,44,184,,,,,,,,,,,,,,1,6,8.6,0.0108,0.0173,0.2,3,9.3,3,4,9,0.19,11,34,12,28,0.28,13,32,7,17,0.21,10,35,10,29,0.23,11.5,33.5,10,19,0.26,14.5,30.5,3,16,0.14,10,35,11,14,0.53,25,20,1,1,0,22.5,22.5,0.5,2.69634,23.98379
erdosrenyi44,erdosrenyi,,44,184,,,,,,,,,,,,,,1,6,8.6,0.0108,0.0173,0.2,3,9.3,3,4,9,0.19,11,34,12,28,0.28,13,32,7,17,0.21,10,35,10,29,0.23,11.5,33.5,10,19,0.26,14.5,30.5,3,16,0.14,10,35,11,14,0.53,25,20,1,1,0,22.5,22.5,1,0.97187,4.32445
erdosrenyi44,erdosrenyi,,44,184,,,,,,,,,,,,,,1,6,8.6,0.0108,0.0173,0.2,3,9.3,3,4,9,0.19,11,34,12,28,0.28,13,32,7,17,0.21,10,35,10,29,0.23,11.5,33.5,10,19,0.26,14.5,30.5,3,16,0.14,10,35,11,14,0.53,25,20,1,1,0,22.5,22.5,5,0.13036,0.00796
erdosrenyi44,erdosrenyi,,44,184,,,,,,,,,,,,,,2,3,0.4,0.00962,0.0104,0.667,2,9.7,3,1,12,0,1.5,43.5,1,39,0,1,44,2,22,0.02,2,43,1,38,0,1,44,28,1,0.98,43.5,1.5,2,17,0.05,4.5,40.5,15,10,0.7,31,14,1,1,0,22.5,22.5,0.5,3.63686,49.4966
erdosrenyi44,erdosrenyi,,44,184,,,,,,,,,,,,,,2,3,0.4,0.00962,0.0104,0.667,2,9.7,3,1,12,0,1.5,43.5,1,39,0,1,44,2,22,0.02,2,43,1,38,0,1,44,28,1,0.98,43.5,1.5,2,17,0.05,4.5,40.5,15,10,0.7,31,14,1,1,0,22.5,22.5,1,2.16176,33.13292
erdosrenyi44,erdosrenyi,,44,184,,,,,,,,,,,,,,2,3,0.4,0.00962,0.0104,0.667,2,9.7,3,1,12,0,1.5,43.5,1,39,0,1,44,2,22,0.02,2,43,1,38,0,1,44,28,1,0.98,43.5,1.5,2,17,0.05,4.5,40.5,15,10,0.7,31,14,1,1,0,22.5,22.5,5,0.3198,2.9813
erdosrenyi44,erdosrenyi,,44,184,,,,,,,,,,,,,,3,11,26.9,0.0128,0.0283,0.273,15,10.1,3,9,4,0.77,36,9,27,13,0.67,30.5,14.5,20,4,0.81,37,8,30,9,0.79,35,10,20,9,0.7,31.5,13.5,14,5,0.84,38.5,6.5,19,6,0.84,37.5,7.5,1,1,0,22.5,22.5,0.5,1.54492,2.70312
