graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,name,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
erdosrenyi42,erdosrenyi,,42,151,,,,,,,,,,,,,,0,7,22.5,0.012,0.0238,0.238,5,7.3,3,5,7,0.46,22.5,20.5,25,14,0.63,28,15,14,10,0.54,23.5,19.5,20,16,0.56,24,19,15,8,0.56,25,18,6,9,0.46,21.5,21.5,6,18,0.12,7,36,2,1,0.02,22,21,0.5,2.42793,14.24549
erdosrenyi42,erdosrenyi,,42,151,,,,,,,,,,,,,,0,7,22.5,0.012,0.0238,0.238,5,7.3,3,5,7,0.46,22.5,20.5,25,14,0.63,28,15,14,10,0.54,23.5,19.5,20,16,0.56,24,19,15,8,0.56,25,18,6,9,0.46,21.5,21.5,6,18,0.12,7,36,2,1,0.02,22,21,1,0.88478,0.57191
erdosrenyi42,erdosrenyi,,42,151,,,,,,,,,,,,,,0,7,22.5,0.012,0.0238,0.238,5,7.3,3,5,7,0.46,22.5,20.5,25,14,0.63,28,15,14,10,0.54,23.5,19.5,20,16,0.56,24,19,15,8,0.56,25,18,6,9,0.46,21.5,21.5,6,18,0.12,7,36,2,1,0.02,22,21,5,0.14351,0.00875
erdosrenyi42,erdosrenyi,,42,151,,,,,,,,,,,,,,1,9,36.3,0.0125,0.0287,0.139,5,7.8,3,7,5,0.68,31.5,11.5,30,9,0.8,34,9,17,7,0.71,31,12,25,11,0.73,31.5,11.5,4,19,0.1,5,38,6,9,0.46,21.5,21.5,9,15,0.32,16,27,2,1,0.02,22,21,0.5,2.25729,14.47523
erdosrenyi42,erdosrenyi,,42,151,,,,,,,,,,,,,,1,9,36.3,0.0125,0.0287,0.139,5,7.8,3,7,5,0.68,31.5,11.5,30,9,0.8,34,9,17,7,0.71,31,12,25,11,0.73,31.5,11.5,4,19,0.1,5,38,6,9,0.46,21.5,21.5,9,15,0.32,16,27,2,1,0.02,22,21,1,0.84636,0.6926
erdosrenyi42,erdosrenyi,,42,151,,,,,,,,,,,,,,1,9,36.3,0.0125,0.0287,0.139,5,7.8,3,7,5,0.68,31.5,11.5,30,9,0.8,34,9,17,7,0.71,31,12,25,11,0.73,31.5,11.5,4,19,0.1,5,38,6,9,0.46,21.5,21.5,9,15,0.32,16,27,2,1,0.02,22,21,5,0.13748,0.02916
erdosrenyi42,erdosrenyi,,42,151,,,,,,,,,,,,,,2,6,13,0.0115,0.0206,0.267,4,8.5,3,4,8,0.27,15.5,27.5,18,21,0.41,18,25,11,13,0.44,19.5,23.5,13,23,0.37,16.5,26.5,16,7,0.63,28,15,5,10,0.37,17.5,25.5,14,10,0.66,29,14,2,1,0.02,22,21,0.5,2.39998,11.3054
erdosrenyi42,erdosrenyi,,42,151,,,,,,,,,,,,,,2,6,13,0.0115,0.0206,0.267,4,8.5,3,4,8,0.27,15.5,27.5,18,21,0.41,18,25,11,13,0.44,19.5,23.5,13,23,0.37,16.5,26.5,16,7,0.63,28,15,5,10,0.37,17.5,25.5,14,10,0.66,29,14,2,1,0.02,22,21,1,1.01234,1.72326
erdosrenyi42,erdosrenyi,,42,151,,,,,,,,,,,,,,2,6,13,0.0115,0.0206,0.267,4,8.5,3,4,8,0.27,15.5,27.5,18,21,0.41,18,25,11,13,0.44,19.5,23.5,13,23,0.37,16.5,26.5,16,7,0.63,28,15,5,10,0.37,17.5,25.5,14,10,0.66,29,14,2,1,0.02,22,21,5,0.14845,0.0096
erdosrenyi42,erdosrenyi,,42,151,,,,,,,,,,,,,,3,10,46.1,0.0135,0.0318,0.2,9,8.2,3,8,4,0.83,35.5,7.5,34,5,0.9,38,5,21,3,0.93,39.5,3.5,29,7,0.85,36,7,10,13,0.32,15.5,27.5,9,6,0.83,35,8,11,13,0.51,22.5,20.5,2,1,0.02,22,21,0.5,2.2608,11.64115
