graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,name,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,0,4,1.1,0.0145,0.019,0.5,3,10,3,2,8,0.06,4.5,29.5,1,32,0,1,33,5,16,0.12,5.5,28.5,3,29,0.06,3,31,24,1,1,33,1,4,10,0.28,12.5,21.5,22,1,0.97,32.5,1.5,2,1,0.03,17.5,16.5,0.5,3.13775,35.32901
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,0,4,1.1,0.0145,0.019,0.5,3,10,3,2,8,0.06,4.5,29.5,1,32,0,1,33,5,16,0.12,5.5,28.5,3,29,0.06,3,31,24,1,1,33,1,4,10,0.28,12.5,21.5,22,1,0.97,32.5,1.5,2,1,0.03,17.5,16.5,1,1.07192,2.2161
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,0,4,1.1,0.0145,0.019,0.5,3,10,3,2,8,0.06,4.5,29.5,1,32,0,1,33,5,16,0.12,5.5,28.5,3,29,0.06,3,31,24,1,1,33,1,4,10,0.28,12.5,21.5,22,1,0.97,32.5,1.5,2,1,0.03,17.5,16.5,5,0.1586,0.01076
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,1,5,7.1,0.0141,0.0239,0.2,2,6.2,3,3,7,0.19,8.5,25.5,11,22,0.31,11,23,3,18,0.06,3,31,10,22,0.28,10,24,11,14,0.5,17,17,3,11,0.22,8.5,25.5,1,22,0,1,33,2,1,0.03,17.5,16.5,0.5,2.95182,14.02536
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,1,5,7.1,0.0141,0.0239,0.2,2,6.2,3,3,7,0.19,8.5,25.5,11,22,0.31,11,23,3,18,0.06,3,31,10,22,0.28,10,24,11,14,0.5,17,17,3,11,0.22,8.5,25.5,1,22,0,1,33,2,1,0.03,17.5,16.5,1,1.37116,8.32569
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,1,5,7.1,0.0141,0.0239,0.2,2,6.2,3,3,7,0.19,8.5,25.5,11,22,0.31,11,23,3,18,0.06,3,31,10,22,0.28,10,24,11,14,0.5,17,17,3,11,0.22,8.5,25.5,1,22,0,1,33,2,1,0.03,17.5,16.5,5,0.16063,0.00923
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,2,8,11.2,0.0169,0.0335,0.321,9,8.6,3,6,4,0.72,24.5,9.5,15,18,0.44,15,19,15,6,0.72,24,10,23,9,0.72,24,10,19,6,0.84,28,6,10,4,0.88,29,5,17,6,0.78,26.5,7.5,2,1,0.03,17.5,16.5,0.5,2.2736,24.72407
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,2,8,11.2,0.0169,0.0335,0.321,9,8.6,3,6,4,0.72,24.5,9.5,15,18,0.44,15,19,15,6,0.72,24,10,23,9,0.72,24,10,19,6,0.84,28,6,10,4,0.88,29,5,17,6,0.78,26.5,7.5,2,1,0.03,17.5,16.5,1,0.82386,0.91324
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,2,8,11.2,0.0169,0.0335,0.321,9,8.6,3,6,4,0.72,24.5,9.5,15,18,0.44,15,19,15,6,0.72,24,10,23,9,0.72,24,10,19,6,0.84,28,6,10,4,0.88,29,5,17,6,0.78,26.5,7.5,2,1,0.03,17.5,16.5,5,0.13507,0.01107
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,3,10,36.2,0.0182,0.0426,0.133,6,7.3,3,8,2,0.84,30,4,31,2,0.97,32,2,19,2,0.91,31,3,30,2,0.97,32,2,5,20,0.19,7,27,7,7,0.59,21.5,12.5,7,16,0.28,11,23,2,1,0.03,17.5,16.5,0.5,1.8795,4.89224
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,3,10,36.2,0.0182,0.0426,0.133,6,7.3,3,8,2,0.84,30,4,31,2,0.97,32,2,19,2,0.91,31,3,30,2,0.97,32,2,5,20,0.19,7,27,7,7,0.59,21.5,12.5,7,16,0.28,11,23,2,1,0.03,17.5,16.5,1,0.76234,0.75401
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,3,10,36.2,0.0182,0.0426,0.133,6,7.3,3,8,2,0.84,30,4,31,2,0.97,32,2,19,2,0.91,31,3,30,2,0.97,32,2,5,20,0.19,7,27,7,7,0.59,21.5,12.5,7,16,0.28,11,23,2,1,0.03,17.5,16.5,5,0.1194,0.00596
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,4,5,5.8,0.0143,0.0234,0.3,3,7.2,3,3,7,0.19,8.5,25.5,10,23,0.28,10,24,4,17,0.09,4,30,9,23,0.25,9,25,18,7,0.78,26.5,7.5,4,10,0.28,12.5,21.5,6,17,0.25,9,25,2,1,0.03,17.5,16.5,0.5,2.93539,35.60264
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,4,5,5.8,0.0143,0.0234,0.3,3,7.2,3,3,7,0.19,8.5,25.5,10,23,0.28,10,24,4,17,0.09,4,30,9,23,0.25,9,25,18,7,0.78,26.5,7.5,4,10,0.28,12.5,21.5,6,17,0.25,9,25,2,1,0.03,17.5,16.5,1,1.08502,2.49738
erdosrenyi33,erdosrenyi,,33,114,,,,,,,,,,,,,,4,5,5.8,0.0143,0.0234,0.3,3,7.2,3,3,7,0.19,8.5,25.5,10,23,0.28,10,24,4,17,0.09,4,30,9,23,0.25,9,25,18,7,0.78,26.5,7.5,4,10,0.28,12.5,21.5,6,17,0.25,9,25,2,1,0.03,17.5,16.5,5,0.16171,0.00907
