graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,name,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
erdosrenyi45,erdosrenyi,,45,169,,,,,,,,,,,,,,0,5,16.9,0.0102,0.0167,0,0,7.2,4,3,9,0.09,8.5,37.5,17,27,0.39,18,28,6,21,0.23,11,35,12,33,0.25,12,34,1,27,0,1.5,44.5,1,14,0,1.5,44.5,6,22,0.14,7,39,2,1,0.93,43.5,2.5,0.5,3.1312,29.50555
erdosrenyi45,erdosrenyi,,45,169,,,,,,,,,,,,,,0,5,16.9,0.0102,0.0167,0,0,7.2,4,3,9,0.09,8.5,37.5,17,27,0.39,18,28,6,21,0.23,11,35,12,33,0.25,12,34,1,27,0,1.5,44.5,1,14,0,1.5,44.5,6,22,0.14,7,39,2,1,0.93,43.5,2.5,1,1.20709,10.68175
erdosrenyi45,erdosrenyi,,45,169,,,,,,,,,,,,,,0,5,16.9,0.0102,0.0167,0,0,7.2,4,3,9,0.09,8.5,37.5,17,27,0.39,18,28,6,21,0.23,11,35,12,33,0.25,12,34,1,27,0,1.5,44.5,1,14,0,1.5,44.5,6,22,0.14,7,39,2,1,0.93,43.5,2.5,5,0.192,0.02
erdosrenyi45,erdosrenyi,,45,169,,,,,,,,,,,,,,1,6,9.6,0.0103,0.0183,0.333,5,8.7,3,4,8,0.27,15.5,30.5,10,34,0.23,11,35,7,20,0.25,12.5,33.5,15,30,0.32,15,31,25,3,0.89,41.5,4.5,5,10,0.59,28,18,19,9,0.64,29.5,16.5,1,2,0,21,25,0.5,2.83331,32.55466
erdosrenyi45,erdosrenyi,,45,169,,,,,,,,,,,,,,1,6,9.6,0.0103,0.0183,0.333,5,8.7,3,4,8,0.27,15.5,30.5,10,34,0.23,11,35,7,20,0.25,12.5,33.5,15,30,0.32,15,31,25,3,0.89,41.5,4.5,5,10,0.59,28,18,19,9,0.64,29.5,16.5,1,2,0,21,25,1,0.87885,0.74254
erdosrenyi45,erdosrenyi,,45,169,,,,,,,,,,,,,,1,6,9.6,0.0103,0.0183,0.333,5,8.7,3,4,8,0.27,15.5,30.5,10,34,0.23,11,35,7,20,0.25,12.5,33.5,15,30,0.32,15,31,25,3,0.89,41.5,4.5,5,10,0.59,28,18,19,9,0.64,29.5,16.5,1,2,0,21,25,5,0.16519,0.01867
erdosrenyi45,erdosrenyi,,45,169,,,,,,,,,,,,,,2,2,0,0.00833,0.00874,1,1,7.5,4,1,11,0,1,45,1,43,0,1,45,1,26,0,1,45,1,44,0,1,45,27,1,1,45,1,2,13,0.05,7,39,7,21,0.16,8,38,2,1,0.93,43.5,2.5,0.5,5.02109,74.30706
erdosrenyi45,erdosrenyi,,45,169,,,,,,,,,,,,,,2,2,0,0.00833,0.00874,1,1,7.5,4,1,11,0,1,45,1,43,0,1,45,1,26,0,1,45,1,44,0,1,45,27,1,1,45,1,2,13,0.05,7,39,7,21,0.16,8,38,2,1,0.93,43.5,2.5,1,2.79696,54.46099
erdosrenyi45,erdosrenyi,,45,169,,,,,,,,,,,,,,2,2,0,0.00833,0.00874,1,1,7.5,4,1,11,0,1,45,1,43,0,1,45,1,26,0,1,45,1,44,0,1,45,27,1,1,45,1,2,13,0.05,7,39,7,21,0.16,8,38,2,1,0.93,43.5,2.5,5,0.8583,9.1593
erdosrenyi45,erdosrenyi,,45,169,,,,,,,,,,,,,,3,9,53.7,0.0118,0.0272,0.167,6,7.9,3,7,5,0.68,32.5,13.5,40,4,0.93,42,4,19,8,0.7,33,13,33,12,0.75,34,12,15,13,0.5,24.5,21.5,6,9,0.66,30.5,15.5,11,17,0.27,13.5,32.5,1,2,0,21,25,0.5,2.25876,16.72367
