graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,name,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,0,6,18.3,0.0135,0.024,0.2,3,7.7,3,4,6,0.32,17.5,21.5,20,16,0.57,22,17,14,9,0.62,24,15,14,21,0.43,17,22,12,9,0.57,24.5,14.5,4,7,0.43,19,20,14,9,0.62,24,15,1,1,0,19.5,19.5,0.5,2.7763,15.93665
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,0,6,18.3,0.0135,0.024,0.2,3,7.7,3,4,6,0.32,17.5,21.5,20,16,0.57,22,17,14,9,0.62,24,15,14,21,0.43,17,22,12,9,0.57,24.5,14.5,4,7,0.43,19,20,14,9,0.62,24,15,1,1,0,19.5,19.5,1,1.10285,3.1919
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,0,6,18.3,0.0135,0.024,0.2,3,7.7,3,4,6,0.32,17.5,21.5,20,16,0.57,22,17,14,9,0.62,24,15,14,21,0.43,17,22,12,9,0.57,24.5,14.5,4,7,0.43,19,20,14,9,0.62,24,15,1,1,0,19.5,19.5,5,0.16057,0.01604
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,1,8,18,0.0139,0.0303,0.321,9,7.6,3,6,4,0.65,27,12,19,17,0.54,21,18,16,7,0.68,27.5,11.5,23,12,0.68,26,13,18,3,0.95,36,3,9,2,0.92,36,3,13,10,0.51,21.5,17.5,1,1,0,19.5,19.5,0.5,2.34113,9.90909
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,1,8,18,0.0139,0.0303,0.321,9,7.6,3,6,4,0.65,27,12,19,17,0.54,21,18,16,7,0.68,27.5,11.5,23,12,0.68,26,13,18,3,0.95,36,3,9,2,0.92,36,3,13,10,0.51,21.5,17.5,1,1,0,19.5,19.5,1,0.9328,2.11755
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,1,8,18,0.0139,0.0303,0.321,9,7.6,3,6,4,0.65,27,12,19,17,0.54,21,18,16,7,0.68,27.5,11.5,23,12,0.68,26,13,18,3,0.95,36,3,9,2,0.92,36,3,13,10,0.51,21.5,17.5,1,1,0,19.5,19.5,5,0.14692,0.00886
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,2,4,6.2,0.0123,0.0172,0,0,8.2,3,2,8,0.05,4.5,34.5,6,30,0.14,6,33,8,15,0.22,10.5,28.5,4,31,0.08,4.5,34.5,1,20,0,3,36,1,10,0,3,36,18,5,0.81,32,7,1,1,0,19.5,19.5,0.5,3.70273,54.6399
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,2,4,6.2,0.0123,0.0172,0,0,8.2,3,2,8,0.05,4.5,34.5,6,30,0.14,6,33,8,15,0.22,10.5,28.5,4,31,0.08,4.5,34.5,1,20,0,3,36,1,10,0,3,36,18,5,0.81,32,7,1,1,0,19.5,19.5,1,1.5276,13.33444
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,2,4,6.2,0.0123,0.0172,0,0,8.2,3,2,8,0.05,4.5,34.5,6,30,0.14,6,33,8,15,0.22,10.5,28.5,4,31,0.08,4.5,34.5,1,20,0,3,36,1,10,0,3,36,18,5,0.81,32,7,1,1,0,19.5,19.5,5,0.18541,0.02115
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,3,6,9.9,0.0132,0.0235,0.0667,1,8.2,3,4,6,0.32,17.5,21.5,11,25,0.27,11,28,13,10,0.51,21.5,17.5,12,23,0.35,14,25,2,19,0.14,7.5,31.5,2,9,0.14,9,30,18,5,0.81,32,7,1,1,0,19.5,19.5,0.5,2.86138,17.26165
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,3,6,9.9,0.0132,0.0235,0.0667,1,8.2,3,4,6,0.32,17.5,21.5,11,25,0.27,11,28,13,10,0.51,21.5,17.5,12,23,0.35,14,25,2,19,0.14,7.5,31.5,2,9,0.14,9,30,18,5,0.81,32,7,1,1,0,19.5,19.5,1,1.09851,7.51196
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,3,6,9.9,0.0132,0.0235,0.0667,1,8.2,3,4,6,0.32,17.5,21.5,11,25,0.27,11,28,13,10,0.51,21.5,17.5,12,23,0.35,14,25,2,19,0.14,7.5,31.5,2,9,0.14,9,30,18,5,0.81,32,7,1,1,0,19.5,19.5,5,0.17104,0.21983
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,4,4,1.3,0.0116,0.0169,0.667,4,8.5,3,2,8,0.05,4.5,34.5,1,35,0,1,38,4,19,0.08,4,35,3,32,0.05,3,36,20,1,1,38,1,5,6,0.57,23.5,15.5,21,2,0.95,36.5,2.5,1,1,0,19.5,19.5,0.5,3.35506,32.81256
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,4,4,1.3,0.0116,0.0169,0.667,4,8.5,3,2,8,0.05,4.5,34.5,1,35,0,1,38,4,19,0.08,4,35,3,32,0.05,3,36,20,1,1,38,1,5,6,0.57,23.5,15.5,21,2,0.95,36.5,2.5,1,1,0,19.5,19.5,1,1.34801,5.71877
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,4,4,1.3,0.0116,0.0169,0.667,4,8.5,3,2,8,0.05,4.5,34.5,1,35,0,1,38,4,19,0.08,4,35,3,32,0.05,3,36,20,1,1,38,1,5,6,0.57,23.5,15.5,21,2,0.95,36.5,2.5,1,1,0,19.5,19.5,5,0.20567,0.14987
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,5,6,25.5,0.013,0.0249,0.0667,1,6.8,3,4,6,0.32,17.5,21.5,26,10,0.73,28,11,12,11,0.41,17.5,21.5,19,16,0.57,22,17,2,19,0.14,7.5,31.5,2,9,0.14,9,30,7,16,0.16,7.5,31.5,1,1,0,19.5,19.5,0.5,3.1735,21.47456
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,5,6,25.5,0.013,0.0249,0.0667,1,6.8,3,4,6,0.32,17.5,21.5,26,10,0.73,28,11,12,11,0.41,17.5,21.5,19,16,0.57,22,17,2,19,0.14,7.5,31.5,2,9,0.14,9,30,7,16,0.16,7.5,31.5,1,1,0,19.5,19.5,1,1.26353,8.55082
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,5,6,25.5,0.013,0.0249,0.0667,1,6.8,3,4,6,0.32,17.5,21.5,26,10,0.73,28,11,12,11,0.41,17.5,21.5,19,16,0.57,22,17,2,19,0.14,7.5,31.5,2,9,0.14,9,30,7,16,0.16,7.5,31.5,1,1,0,19.5,19.5,5,0.16074,0.00854
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,6,3,2.6,0.0115,0.0138,0,0,9,3,1,9,0,1.5,37.5,3,33,0.05,3,36,3,20,0.05,3,36,1,34,0,1,38,1,20,0,3,36,1,10,0,3,36,22,1,1,38,1,1,1,0,19.5,19.5,0.5,4.08864,32.13231
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,6,3,2.6,0.0115,0.0138,0,0,9,3,1,9,0,1.5,37.5,3,33,0.05,3,36,3,20,0.05,3,36,1,34,0,1,38,1,20,0,3,36,1,10,0,3,36,22,1,1,38,1,1,1,0,19.5,19.5,1,2.21663,25.8917
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,6,3,2.6,0.0115,0.0138,0,0,9,3,1,9,0,1.5,37.5,3,33,0.05,3,36,3,20,0.05,3,36,1,34,0,1,38,1,20,0,3,36,1,10,0,3,36,22,1,1,38,1,1,1,0,19.5,19.5,5,0.2451,0.76985
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,7,6,18.5,0.0127,0.0246,0.0667,1,6.3,3,4,6,0.32,17.5,21.5,21,15,0.59,23,16,10,13,0.35,14,25,17,18,0.51,20,19,2,19,0.14,7.5,31.5,2,9,0.14,9,30,4,19,0.08,4,35,1,1,0,19.5,19.5,0.5,3.10558,19.67642
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,7,6,18.5,0.0127,0.0246,0.0667,1,6.3,3,4,6,0.32,17.5,21.5,21,15,0.59,23,16,10,13,0.35,14,25,17,18,0.51,20,19,2,19,0.14,7.5,31.5,2,9,0.14,9,30,4,19,0.08,4,35,1,1,0,19.5,19.5,1,1.05255,3.8293
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,7,6,18.5,0.0127,0.0246,0.0667,1,6.3,3,4,6,0.32,17.5,21.5,21,15,0.59,23,16,10,13,0.35,14,25,17,18,0.51,20,19,2,19,0.14,7.5,31.5,2,9,0.14,9,30,4,19,0.08,4,35,1,1,0,19.5,19.5,5,0.15764,0.00794
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,8,6,16.6,0.013,0.0242,0,0,7,3,4,6,0.32,17.5,21.5,18,18,0.49,19.5,19.5,12,11,0.41,17.5,21.5,16,19,0.49,19,20,1,20,0,3,36,1,10,0,3,36,9,14,0.24,11.5,27.5,1,1,0,19.5,19.5,0.5,2.72522,16.52321
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,8,6,16.6,0.013,0.0242,0,0,7,3,4,6,0.32,17.5,21.5,18,18,0.49,19.5,19.5,12,11,0.41,17.5,21.5,16,19,0.49,19,20,1,20,0,3,36,1,10,0,3,36,9,14,0.24,11.5,27.5,1,1,0,19.5,19.5,1,1.09042,4.96985
erdosrenyi38,erdosrenyi,,38,127,,,,,,,,,,,,,,8,6,16.6,0.013,0.0242,0,0,7,3,4,6,0.32,17.5,21.5,18,18,0.49,19.5,19.5,12,11,0.41,17.5,21.5,16,19,0.49,19,20,1,20,0,3,36,1,10,0,3,36,9,14,0.24,11.5,27.5,1,1,0,19.5,19.5,5,0.15718,0.01771
