graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,name,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,0,5,8.5,0.00763,0.0116,0.1,1,8.6,3,3,10,0.05,6,52,7,49,0.11,7,51,3,28,0.05,4,54,7,42,0.11,7.5,50.5,12,22,0.34,21,37,2,13,0.05,7,51,6,19,0.14,10,48,1,1,0,29,29,0.5,3.05479,32.7489
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,0,5,8.5,0.00763,0.0116,0.1,1,8.6,3,3,10,0.05,6,52,7,49,0.11,7,51,3,28,0.05,4,54,7,42,0.11,7.5,50.5,12,22,0.34,21,37,2,13,0.05,7,51,6,19,0.14,10,48,1,1,0,29,29,1,1.32368,15.39475
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,0,5,8.5,0.00763,0.0116,0.1,1,8.6,3,3,10,0.05,6,52,7,49,0.11,7,51,3,28,0.05,4,54,7,42,0.11,7.5,50.5,12,22,0.34,21,37,2,13,0.05,7,51,6,19,0.14,10,48,1,1,0,29,29,5,0.15103,0.00921
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,1,7,15.7,0.0087,0.0147,0.238,5,11.1,3,5,8,0.25,17.5,40.5,17,39,0.29,17,41,17,14,0.5,29.5,28.5,12,37,0.27,16,42,28,6,0.89,51.5,6.5,6,9,0.55,35.5,22.5,23,2,0.98,56,2,1,1,0,29,29,0.5,2.34087,27.10675
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,1,7,15.7,0.0087,0.0147,0.238,5,11.1,3,5,8,0.25,17.5,40.5,17,39,0.29,17,41,17,14,0.5,29.5,28.5,12,37,0.27,16,42,28,6,0.89,51.5,6.5,6,9,0.55,35.5,22.5,23,2,0.98,56,2,1,1,0,29,29,1,0.95788,7.68145
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,1,7,15.7,0.0087,0.0147,0.238,5,11.1,3,5,8,0.25,17.5,40.5,17,39,0.29,17,41,17,14,0.5,29.5,28.5,12,37,0.27,16,42,28,6,0.89,51.5,6.5,6,9,0.55,35.5,22.5,23,2,0.98,56,2,1,1,0,29,29,5,0.1236,0.00384
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,2,10,30.2,0.00877,0.0202,0.2,9,8.7,3,8,5,0.66,41,17,32,24,0.57,33,25,18,13,0.54,32,26,32,17,0.7,40,18,26,8,0.77,46,12,10,5,0.84,49,9,7,18,0.2,12.5,45.5,1,1,0,29,29,0.5,1.85293,9.44184
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,2,10,30.2,0.00877,0.0202,0.2,9,8.7,3,8,5,0.66,41,17,32,24,0.57,33,25,18,13,0.54,32,26,32,17,0.7,40,18,26,8,0.77,46,12,10,5,0.84,49,9,7,18,0.2,12.5,45.5,1,1,0,29,29,1,0.69509,0.27092
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,2,10,30.2,0.00877,0.0202,0.2,9,8.7,3,8,5,0.66,41,17,32,24,0.57,33,25,18,13,0.54,32,26,32,17,0.7,40,18,26,8,0.77,46,12,10,5,0.84,49,9,7,18,0.2,12.5,45.5,1,1,0,29,29,5,0.11941,0.0069
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,3,11,40.5,0.00943,0.0216,0.127,7,9.7,3,9,4,0.79,47.5,10.5,40,16,0.73,42,16,26,5,0.86,50.5,7.5,38,11,0.8,46,12,17,17,0.54,31,27,8,7,0.75,43.5,14.5,14,11,0.62,38,20,1,1,0,29,29,0.5,1.60491,3.43324
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,3,11,40.5,0.00943,0.0216,0.127,7,9.7,3,9,4,0.79,47.5,10.5,40,16,0.73,42,16,26,5,0.86,50.5,7.5,38,11,0.8,46,12,17,17,0.54,31,27,8,7,0.75,43.5,14.5,14,11,0.62,38,20,1,1,0,29,29,1,0.62343,0.19826
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,3,11,40.5,0.00943,0.0216,0.127,7,9.7,3,9,4,0.79,47.5,10.5,40,16,0.73,42,16,26,5,0.86,50.5,7.5,38,11,0.8,46,12,17,17,0.54,31,27,8,7,0.75,43.5,14.5,14,11,0.62,38,20,1,1,0,29,29,5,0.11341,0.00569
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,4,12,64.8,0.00926,0.0241,0.121,8,8.5,3,10,3,0.89,52,6,53,3,0.96,55,3,24,7,0.82,47,11,44,5,0.93,53,5,15,19,0.5,29,29,9,6,0.79,46,12,5,20,0.11,7.5,50.5,1,1,0,29,29,0.5,1.70915,7.85985
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,4,12,64.8,0.00926,0.0241,0.121,8,8.5,3,10,3,0.89,52,6,53,3,0.96,55,3,24,7,0.82,47,11,44,5,0.93,53,5,15,19,0.5,29,29,9,6,0.79,46,12,5,20,0.11,7.5,50.5,1,1,0,29,29,1,0.70057,0.40328
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,4,12,64.8,0.00926,0.0241,0.121,8,8.5,3,10,3,0.89,52,6,53,3,0.96,55,3,24,7,0.82,47,11,44,5,0.93,53,5,15,19,0.5,29,29,9,6,0.79,46,12,5,20,0.11,7.5,50.5,1,1,0,29,29,5,0.11092,0.0032
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,5,7,19.7,0.00855,0.0149,0.0476,1,9.4,3,5,8,0.25,17.5,40.5,21,35,0.36,21.5,36.5,15,16,0.45,26.5,31.5,14,35,0.3,18.5,39.5,2,32,0.05,4.5,53.5,2,13,0.05,7,51,12,13,0.45,28,30,1,1,0,29,29,0.5,2.38499,16.22397
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,5,7,19.7,0.00855,0.0149,0.0476,1,9.4,3,5,8,0.25,17.5,40.5,21,35,0.36,21.5,36.5,15,16,0.45,26.5,31.5,14,35,0.3,18.5,39.5,2,32,0.05,4.5,53.5,2,13,0.05,7,51,12,13,0.45,28,30,1,1,0,29,29,1,0.89601,2.47554
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,5,7,19.7,0.00855,0.0149,0.0476,1,9.4,3,5,8,0.25,17.5,40.5,21,35,0.36,21.5,36.5,15,16,0.45,26.5,31.5,14,35,0.3,18.5,39.5,2,32,0.05,4.5,53.5,2,13,0.05,7,51,12,13,0.45,28,30,1,1,0,29,29,5,0.1354,0.01409
erdosrenyi57,erdosrenyi,,57,242,,,,,,,,,,,,,,6,8,24.1,0.00855,0.0166,0.107,3,9.5,3,6,7,0.36,25,33,24,32,0.43,25,33,15,16,0.45,26.5,31.5,19,30,0.43,25,33,13,21,0.39,23.5,34.5,4,11,0.36,23,35,13,12,0.54,33,25,1,1,0,29,29,0.5,2.13021,18.11776
