graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,name,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,0,12,97.1,0.00893,0.0243,0.0909,6,7.7,3,11,3,0.9,56,5,56,2,0.98,59,2,30,3,0.97,58,3,46,3,0.97,58,3,3,29,0.12,8.5,52.5,7,7,0.64,42,19,3,31,0.05,4,57,2,2,0.02,25.5,35.5,0.5,1.95773,5.88176
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,0,12,97.1,0.00893,0.0243,0.0909,6,7.7,3,11,3,0.9,56,5,56,2,0.98,59,2,30,3,0.97,58,3,46,3,0.97,58,3,3,29,0.12,8.5,52.5,7,7,0.64,42,19,3,31,0.05,4,57,2,2,0.02,25.5,35.5,1,0.71682,0.43328
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,0,12,97.1,0.00893,0.0243,0.0909,6,7.7,3,11,3,0.9,56,5,56,2,0.98,59,2,30,3,0.97,58,3,46,3,0.97,58,3,3,29,0.12,8.5,52.5,7,7,0.64,42,19,3,31,0.05,4,57,2,2,0.02,25.5,35.5,5,0.13302,0.02988
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,1,11,73.7,0.00847,0.0226,0.182,10,8.9,3,10,4,0.81,51,10,54,4,0.95,57,4,26,7,0.78,47.5,13.5,41,8,0.88,53,8,20,12,0.69,42,19,11,3,0.95,57.5,3.5,15,19,0.39,26,35,2,2,0.02,25.5,35.5,0.5,1.89648,4.39978
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,1,11,73.7,0.00847,0.0226,0.182,10,8.9,3,10,4,0.81,51,10,54,4,0.95,57,4,26,7,0.78,47.5,13.5,41,8,0.88,53,8,20,12,0.69,42,19,11,3,0.95,57.5,3.5,15,19,0.39,26,35,2,2,0.02,25.5,35.5,1,0.76719,2.50609
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,1,11,73.7,0.00847,0.0226,0.182,10,8.9,3,10,4,0.81,51,10,54,4,0.95,57,4,26,7,0.78,47.5,13.5,41,8,0.88,53,8,20,12,0.69,42,19,11,3,0.95,57.5,3.5,15,19,0.39,26,35,2,2,0.02,25.5,35.5,5,0.13739,0.02897
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,2,16,131.5,0.00962,0.0307,0.117,14,8.8,3,13,1,1,60,1,57,1,1,60,1,32,1,1,60,1,48,1,1,60,1,9,23,0.36,22,39,12,2,0.98,59,2,14,20,0.34,22,39,2,2,0.02,25.5,35.5,0.5,1.59899,2.42506
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,2,16,131.5,0.00962,0.0307,0.117,14,8.8,3,13,1,1,60,1,57,1,1,60,1,32,1,1,60,1,48,1,1,60,1,9,23,0.36,22,39,12,2,0.98,59,2,14,20,0.34,22,39,2,2,0.02,25.5,35.5,1,0.64526,0.25124
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,2,16,131.5,0.00962,0.0307,0.117,14,8.8,3,13,1,1,60,1,57,1,1,60,1,32,1,1,60,1,48,1,1,60,1,9,23,0.36,22,39,12,2,0.98,59,2,14,20,0.34,22,39,2,2,0.02,25.5,35.5,5,0.11887,0.01355
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,3,8,26.1,0.00806,0.0166,0.179,5,9.6,3,7,7,0.42,31,30,25,33,0.44,27,34,20,13,0.59,36.5,24.5,26,23,0.49,31,30,19,13,0.63,39.5,21.5,6,8,0.53,35,26,22,12,0.76,47,14,2,2,0.02,25.5,35.5,0.5,2.66545,34.69264
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,3,8,26.1,0.00806,0.0166,0.179,5,9.6,3,7,7,0.42,31,30,25,33,0.44,27,34,20,13,0.59,36.5,24.5,26,23,0.49,31,30,19,13,0.63,39.5,21.5,6,8,0.53,35,26,22,12,0.76,47,14,2,2,0.02,25.5,35.5,1,0.79909,0.48441
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,3,8,26.1,0.00806,0.0166,0.179,5,9.6,3,7,7,0.42,31,30,25,33,0.44,27,34,20,13,0.59,36.5,24.5,26,23,0.49,31,30,19,13,0.63,39.5,21.5,6,8,0.53,35,26,22,12,0.76,47,14,2,2,0.02,25.5,35.5,5,0.13792,0.01128
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,4,5,7.8,0.00735,0.0111,0.3,3,10.2,4,4,10,0.1,9.5,51.5,8,50,0.12,8,53,10,23,0.19,12.5,48.5,8,41,0.12,8,53,29,3,0.95,57,4,4,10,0.27,20,41,26,8,0.86,52,9,3,1,0.83,55,6,0.5,2.91329,28.25381
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,4,5,7.8,0.00735,0.0111,0.3,3,10.2,4,4,10,0.1,9.5,51.5,8,50,0.12,8,53,10,23,0.19,12.5,48.5,8,41,0.12,8,53,29,3,0.95,57,4,4,10,0.27,20,41,26,8,0.86,52,9,3,1,0.83,55,6,1,1.19836,10.23349
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,4,5,7.8,0.00735,0.0111,0.3,3,10.2,4,4,10,0.1,9.5,51.5,8,50,0.12,8,53,10,23,0.19,12.5,48.5,8,41,0.12,8,53,29,3,0.95,57,4,4,10,0.27,20,41,26,8,0.86,52,9,3,1,0.83,55,6,5,0.16088,0.01914
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,5,10,55.9,0.00862,0.0202,0.156,7,8.7,3,9,5,0.71,45.5,15.5,47,11,0.83,50,11,28,5,0.83,52,9,36,13,0.76,46,15,16,16,0.54,33.5,27.5,8,6,0.76,47.5,13.5,13,21,0.31,19.5,41.5,2,2,0.02,25.5,35.5,0.5,1.86658,6.1102
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,5,10,55.9,0.00862,0.0202,0.156,7,8.7,3,9,5,0.71,45.5,15.5,47,11,0.83,50,11,28,5,0.83,52,9,36,13,0.76,46,15,16,16,0.54,33.5,27.5,8,6,0.76,47.5,13.5,13,21,0.31,19.5,41.5,2,2,0.02,25.5,35.5,1,0.99199,27.17236
erdosrenyi60,erdosrenyi,,60,241,,,,,,,,,,,,,,5,10,55.9,0.00862,0.0202,0.156,7,8.7,3,9,5,0.71,45.5,15.5,47,11,0.83,50,11,28,5,0.83,52,9,36,13,0.76,46,15,16,16,0.54,33.5,27.5,8,6,0.76,47.5,13.5,13,21,0.31,19.5,41.5,2,2,0.02,25.5,35.5,5,0.14132,0.02875
