graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,name,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
erdosrenyi52,erdosrenyi,,52,212,,,,,,,,,,,,,,0,10,41.4,0.0104,0.0228,0.178,8,9.3,3,7,4,0.73,40.5,12.5,41,10,0.8,42,11,21,5,0.86,45.5,7.5,31,11,0.78,41,12,19,14,0.67,35.5,17.5,9,7,0.78,43,10,17,10,0.71,37,16,1,2,0,25.5,27.5,0.5,1.76518,4.17352
erdosrenyi52,erdosrenyi,,52,212,,,,,,,,,,,,,,0,10,41.4,0.0104,0.0228,0.178,8,9.3,3,7,4,0.73,40.5,12.5,41,10,0.8,42,11,21,5,0.86,45.5,7.5,31,11,0.78,41,12,19,14,0.67,35.5,17.5,9,7,0.78,43,10,17,10,0.71,37,16,1,2,0,25.5,27.5,1,0.72591,0.31851
erdosrenyi52,erdosrenyi,,52,212,,,,,,,,,,,,,,0,10,41.4,0.0104,0.0228,0.178,8,9.3,3,7,4,0.73,40.5,12.5,41,10,0.8,42,11,21,5,0.86,45.5,7.5,31,11,0.78,41,12,19,14,0.67,35.5,17.5,9,7,0.78,43,10,17,10,0.71,37,16,1,2,0,25.5,27.5,5,0.12977,0.02792
erdosrenyi52,erdosrenyi,,52,212,,,,,,,,,,,,,,1,7,19.8,0.00935,0.017,0.0476,1,8.1,3,4,7,0.25,17.5,35.5,20,31,0.39,21,32,12,14,0.39,21,32,13,29,0.33,18,35,3,30,0.08,5.5,47.5,2,14,0.06,6,47,5,22,0.12,8.5,44.5,1,2,0,25.5,27.5,0.5,2.21611,9.92766
erdosrenyi52,erdosrenyi,,52,212,,,,,,,,,,,,,,1,7,19.8,0.00935,0.017,0.0476,1,8.1,3,4,7,0.25,17.5,35.5,20,31,0.39,21,32,12,14,0.39,21,32,13,29,0.33,18,35,3,30,0.08,5.5,47.5,2,14,0.06,6,47,5,22,0.12,8.5,44.5,1,2,0,25.5,27.5,1,0.7844,0.37111
erdosrenyi52,erdosrenyi,,52,212,,,,,,,,,,,,,,1,7,19.8,0.00935,0.017,0.0476,1,8.1,3,4,7,0.25,17.5,35.5,20,31,0.39,21,32,12,14,0.39,21,32,13,29,0.33,18,35,3,30,0.08,5.5,47.5,2,14,0.06,6,47,5,22,0.12,8.5,44.5,1,2,0,25.5,27.5,5,0.13495,0.00561
erdosrenyi52,erdosrenyi,,52,212,,,,,,,,,,,,,,2,7,14.7,0.00917,0.0169,0.143,3,9.1,3,4,7,0.25,17.5,35.5,14,37,0.25,14.5,38.5,10,16,0.29,16.5,36.5,12,30,0.31,17,36,15,18,0.47,27,26,4,12,0.31,19,34,15,12,0.55,30.5,22.5,1,2,0,25.5,27.5,0.5,2.55311,37.15219
erdosrenyi52,erdosrenyi,,52,212,,,,,,,,,,,,,,2,7,14.7,0.00917,0.0169,0.143,3,9.1,3,4,7,0.25,17.5,35.5,14,37,0.25,14.5,38.5,10,16,0.29,16.5,36.5,12,30,0.31,17,36,15,18,0.47,27,26,4,12,0.31,19,34,15,12,0.55,30.5,22.5,1,2,0,25.5,27.5,1,0.86597,1.58111
erdosrenyi52,erdosrenyi,,52,212,,,,,,,,,,,,,,2,7,14.7,0.00917,0.0169,0.143,3,9.1,3,4,7,0.25,17.5,35.5,14,37,0.25,14.5,38.5,10,16,0.29,16.5,36.5,12,30,0.31,17,36,15,18,0.47,27,26,4,12,0.31,19,34,15,12,0.55,30.5,22.5,1,2,0,25.5,27.5,5,0.13931,0.01422
erdosrenyi52,erdosrenyi,,52,212,,,,,,,,,,,,,,3,8,24.6,0.00926,0.0192,0.143,4,8.5,3,5,6,0.41,26.5,26.5,26,25,0.51,27,26,11,15,0.33,19,34,22,20,0.53,28.5,24.5,15,18,0.47,27,26,5,11,0.41,25,28,9,18,0.35,19.5,33.5,1,2,0,25.5,27.5,0.5,2.4044,11.11816
