graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,name,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
erdosrenyi43,erdosrenyi,,43,158,,,,,,,,,,,,,,0,6,27.1,0.0111,0.0208,0,0,6.5,3,4,7,0.24,13.5,30.5,27,14,0.69,30,14,8,15,0.26,12,32,15,24,0.36,16,28,1,21,0,4,40,1,12,0,4,40,3,22,0.05,3,41,2,1,0.02,22.5,21.5,0.5,2.67314,9.65604
erdosrenyi43,erdosrenyi,,43,158,,,,,,,,,,,,,,0,6,27.1,0.0111,0.0208,0,0,6.5,3,4,7,0.24,13.5,30.5,27,14,0.69,30,14,8,15,0.26,12,32,15,24,0.36,16,28,1,21,0,4,40,1,12,0,4,40,3,22,0.05,3,41,2,1,0.02,22.5,21.5,1,1.16955,5.71651
erdosrenyi43,erdosrenyi,,43,158,,,,,,,,,,,,,,0,6,27.1,0.0111,0.0208,0,0,6.5,3,4,7,0.24,13.5,30.5,27,14,0.69,30,14,8,15,0.26,12,32,15,24,0.36,16,28,1,21,0,4,40,1,12,0,4,40,3,22,0.05,3,41,2,1,0.02,22.5,21.5,5,0.15604,0.01553
erdosrenyi43,erdosrenyi,,43,158,,,,,,,,,,,,,,1,11,45.8,0.0127,0.0332,0.145,8,7.5,3,9,2,0.93,41,3,36,5,0.9,39,5,19,4,0.83,36.5,7.5,36,3,0.95,41,3,9,13,0.52,23.5,20.5,9,4,0.83,37,7,7,18,0.19,9.5,34.5,2,1,0.02,22.5,21.5,0.5,2.16736,10.0042
erdosrenyi43,erdosrenyi,,43,158,,,,,,,,,,,,,,1,11,45.8,0.0127,0.0332,0.145,8,7.5,3,9,2,0.93,41,3,36,5,0.9,39,5,19,4,0.83,36.5,7.5,36,3,0.95,41,3,9,13,0.52,23.5,20.5,9,4,0.83,37,7,7,18,0.19,9.5,34.5,2,1,0.02,22.5,21.5,1,0.72123,0.33063
erdosrenyi43,erdosrenyi,,43,158,,,,,,,,,,,,,,1,11,45.8,0.0127,0.0332,0.145,8,7.5,3,9,2,0.93,41,3,36,5,0.9,39,5,19,4,0.83,36.5,7.5,36,3,0.95,41,3,9,13,0.52,23.5,20.5,9,4,0.83,37,7,7,18,0.19,9.5,34.5,2,1,0.02,22.5,21.5,5,0.11693,0.00571
erdosrenyi43,erdosrenyi,,43,158,,,,,,,,,,,,,,2,8,21.6,0.0122,0.0247,0.107,3,8.5,3,6,5,0.5,26.5,17.5,21,20,0.52,23,21,16,7,0.62,28.5,15.5,22,17,0.57,26,18,4,18,0.21,11,33,4,9,0.33,18,26,16,9,0.69,30,14,2,1,0.02,22.5,21.5,0.5,2.04831,5.22271
erdosrenyi43,erdosrenyi,,43,158,,,,,,,,,,,,,,2,8,21.6,0.0122,0.0247,0.107,3,8.5,3,6,5,0.5,26.5,17.5,21,20,0.52,23,21,16,7,0.62,28.5,15.5,22,17,0.57,26,18,4,18,0.21,11,33,4,9,0.33,18,26,16,9,0.69,30,14,2,1,0.02,22.5,21.5,1,0.81414,0.64506
erdosrenyi43,erdosrenyi,,43,158,,,,,,,,,,,,,,2,8,21.6,0.0122,0.0247,0.107,3,8.5,3,6,5,0.5,26.5,17.5,21,20,0.52,23,21,16,7,0.62,28.5,15.5,22,17,0.57,26,18,4,18,0.21,11,33,4,9,0.33,18,26,16,9,0.69,30,14,2,1,0.02,22.5,21.5,5,0.13499,0.01585
erdosrenyi43,erdosrenyi,,43,158,,,,,,,,,,,,,,3,4,3.6,0.0098,0.0143,0.167,1,7.8,3,2,9,0.02,4,40,2,39,0.02,2,42,2,21,0.02,2,42,3,36,0.07,4,40,11,11,0.6,27,17,2,11,0.17,9,35,10,15,0.29,14.5,29.5,2,1,0.02,22.5,21.5,0.5,3.44832,26.37084
